Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.019300,0.021790,0.020173
1024,0.141450,0.155353,0.147132
2048,1.102552,1.196939,1.139845
4096,8.832271,9.086800,9.011593
