Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.022734,0.026958,0.024201
1024,0.151043,0.197643,0.164437
2048,1.149072,1.310444,1.197640
4096,8.332968,9.015243,8.641248
