Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.011826,0.014043,0.012707
1024,0.072375,0.083887,0.078273
2048,0.581295,0.643481,0.611622
4096,4.506030,4.617352,4.570334
