Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.046914,0.053941,0.050418
1024,0.352981,0.365718,0.358023
2048,2.767905,2.931063,2.834736
4096,21.320621,21.850124,21.571080
