Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.082446,0.084311,0.083414
1024,0.643134,0.665264,0.651383
2048,5.076466,5.208650,5.156651
4096,40.434768,41.161994,40.823735
