Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.158140,0.163148,0.160142
1024,1.258020,1.298146,1.279657
2048,10.130010,10.519251,10.279036
4096,78.860591,79.263604,79.056102
