Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.066765,0.072673,0.068835
1024,0.498785,0.518612,0.508071
2048,3.917255,4.010314,3.971078
4096,31.028304,32.326383,31.468607
