Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.010409,0.012893,0.011546
1024,0.032980,0.035767,0.034199
2048,0.180440,0.207302,0.187674
4096,1.645121,1.738907,1.669970
