Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.023219,0.029847,0.027322
1024,0.121440,0.152289,0.129531
2048,0.882256,1.052557,0.948459
4096,7.168035,7.716050,7.407752
