Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.016330,0.018496,0.017247
1024,0.074650,0.099740,0.083684
2048,0.529950,0.612587,0.549231
4096,4.359120,4.536775,4.460830
