Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.047422,0.051915,0.049178
1024,0.276187,0.331047,0.290948
2048,2.163118,2.298845,2.239712
4096,16.889465,18.185465,17.565969
