Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.008411,0.011561,0.010145
1024,0.030469,0.034469,0.031747
2048,0.181240,0.221935,0.192623
4096,1.273604,1.494899,1.380637
