Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.008940,0.010617,0.010129
1024,0.022064,0.024112,0.023142
2048,0.095540,0.115424,0.104294
4096,0.737408,0.781750,0.770096
