Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.058021,0.067302,0.061362
1024,0.439113,0.487774,0.461194
2048,5.198109,5.414725,5.278589
4096,39.019922,39.901570,39.485322
