Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.008313,0.009338,0.008672
1024,0.021579,0.023422,0.022329
2048,0.094866,0.112347,0.101023
4096,0.591883,0.648167,0.624498
