Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.036617,0.039335,0.038092
1024,0.274499,0.293766,0.280991
2048,2.173385,2.305385,2.222860
4096,17.433291,18.202150,17.696727
