Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.007880,0.014589,0.010674
1024,0.023162,0.028038,0.024757
2048,0.101175,0.122564,0.111664
4096,0.642417,0.717597,0.682264
