Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.008785,0.010419,0.009423
1024,0.021249,0.024074,0.022630
2048,0.093762,0.118193,0.100772
4096,0.699200,0.735981,0.719249
8192,4.934451,5.289190,5.093134
16384,39.939406,41.433266,40.686123
