Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.008269,0.011160,0.010102
1024,0.023630,0.028100,0.025665
2048,0.101834,0.135448,0.116738
4096,0.732523,0.806523,0.786219
