Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.008796,0.011080,0.009956
1024,0.021791,0.024889,0.023854
2048,0.110394,0.116576,0.113291
4096,0.727432,0.793026,0.755787
