Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.008222,0.009290,0.008821
1024,0.048816,0.060026,0.052460
2048,0.342752,0.362782,0.352440
4096,2.581021,2.702347,2.622475
