Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.015054,0.018810,0.017794
1024,0.101873,0.107271,0.105280
2048,0.691583,0.764789,0.722714
4096,4.832145,5.423451,5.047693
