Mat Size,Min Time (s),Max Time (s),Mean Time (s)
512,0.008597,0.013214,0.011161
1024,0.024887,0.031796,0.027730
2048,0.101280,0.131355,0.110258
4096,0.813593,0.881658,0.845169
